file,n,m,n_x_m,time,fitness,maxtoner
'/home/lucas/git/tonerscheduling/resources/885.txt',400,400,160000,0.385,400.0,400
'/home/lucas/git/tonerscheduling/resources/1350.txt',20,20,400,0.003,16.0,16
'/home/lucas/git/tonerscheduling/resources/809.txt',400,400,160000,0.726,380.0,380
'/home/lucas/git/tonerscheduling/resources/577.txt',1000,1000,1000000,5.27,946.0,946
'/home/lucas/git/tonerscheduling/resources/381.txt',1000,1000,1000000,5.132,971.0,971
'/home/lucas/git/tonerscheduling/resources/839.txt',400,400,160000,1.62,194.0,194
'/home/lucas/git/tonerscheduling/resources/142.txt',20,17,340,0.004,9.0,9
'/home/lucas/git/tonerscheduling/resources/1280.txt',800,800,640000,1.479,800.0,800
'/home/lucas/git/tonerscheduling/resources/267.txt',30,40,1200,0.013,16.0,16
'/home/lucas/git/tonerscheduling/resources/213.txt',25,40,1000,0.014,13.0,13
'/home/lucas/git/tonerscheduling/resources/1060.txt',600,600,360000,0.916,600.0,600
'/home/lucas/git/tonerscheduling/resources/278.txt',40,10,400,0.003,9.0,9
'/home/lucas/git/tonerscheduling/resources/860.txt',400,400,160000,0.456,400.0,400
'/home/lucas/git/tonerscheduling/resources/463.txt',1000,1000,1000000,2.559,1000.0,1000
'/home/lucas/git/tonerscheduling/resources/417.txt',1000,1000,1000000,10.43,505.0,505
'/home/lucas/git/tonerscheduling/resources/1053.txt',600,600,360000,1.018,600.0,600
'/home/lucas/git/tonerscheduling/resources/546.txt',1000,1000,1000000,2.226,1000.0,1000
'/home/lucas/git/tonerscheduling/resources/1040.txt',600,600,360000,1.072,600.0,600
'/home/lucas/git/tonerscheduling/resources/955.txt',50,50,2500,0.029,20.0,20
'/home/lucas/git/tonerscheduling/resources/135.txt',20,10,200,0.002,8.0,8
'/home/lucas/git/tonerscheduling/resources/270.txt',30,50,1500,0.019,17.0,17
'/home/lucas/git/tonerscheduling/resources/437.txt',1000,1000,1000000,3.181,1000.0,1000
'/home/lucas/git/tonerscheduling/resources/655.txt',175,175,30625,0.139,165.0,165
'/home/lucas/git/tonerscheduling/resources/1132.txt',75,75,5625,0.057,33.0,33
'/home/lucas/git/tonerscheduling/resources/1112.txt',600,600,360000,2.257,523.0,523
'/home/lucas/git/tonerscheduling/resources/1001.txt',600,600,360000,1.359,600.0,600
'/home/lucas/git/tonerscheduling/resources/807.txt',400,400,160000,0.687,387.0,387
'/home/lucas/git/tonerscheduling/resources/724.txt',200,200,40000,0.295,137.0,137
'/home/lucas/git/tonerscheduling/resources/186.txt',25,10,250,0.003,9.0,9
'/home/lucas/git/tonerscheduling/resources/525.txt',1000,1000,1000000,2.244,1000.0,1000
'/home/lucas/git/tonerscheduling/resources/920.txt',400,400,160000,0.827,376.0,376
'/home/lucas/git/tonerscheduling/resources/1187.txt',800,800,640000,6.031,417.0,417
'/home/lucas/git/tonerscheduling/resources/1224.txt',800,800,640000,1.888,800.0,800
'/home/lucas/git/tonerscheduling/resources/579.txt',125,125,15625,0.073,120.0,120
'/home/lucas/git/tonerscheduling/resources/1000.txt',600,600,360000,1.224,599.0,599
'/home/lucas/git/tonerscheduling/resources/892.txt',400,400,160000,0.37,400.0,400
'/home/lucas/git/tonerscheduling/resources/989.txt',600,600,360000,1.337,594.0,594
'/home/lucas/git/tonerscheduling/resources/365.txt',50,100,5000,0.051,44.0,44
'/home/lucas/git/tonerscheduling/resources/132.txt',20,10,200,0.003,8.0,8
'/home/lucas/git/tonerscheduling/resources/200.txt',25,30,750,0.009,14.0,14
'/home/lucas/git/tonerscheduling/resources/649.txt',150,150,22500,0.129,140.0,140
'/home/lucas/git/tonerscheduling/resources/1273.txt',800,800,640000,1.491,800.0,800
'/home/lucas/git/tonerscheduling/resources/761.txt',30,30,900,0.011,13.0,13
'/home/lucas/git/tonerscheduling/resources/408.txt',1000,1000,1000000,10.356,525.0,525
'/home/lucas/git/tonerscheduling/resources/723.txt',200,200,40000,0.307,133.0,133
'/home/lucas/git/tonerscheduling/resources/1227.txt',800,800,640000,1.848,800.0,800
'/home/lucas/git/tonerscheduling/resources/220.txt',25,50,1250,0.016,13.0,13
'/home/lucas/git/tonerscheduling/resources/755.txt',30,30,900,0.005,29.0,29
'/home/lucas/git/tonerscheduling/resources/328.txt',100,100,10000,0.048,97.0,97
'/home/lucas/git/tonerscheduling/resources/951.txt',50,50,2500,0.014,50.0,50
'/home/lucas/git/tonerscheduling/resources/1202.txt',800,800,640000,1.856,800.0,800
'/home/lucas/git/tonerscheduling/resources/1021.txt',600,600,360000,1.162,600.0,600
'/home/lucas/git/tonerscheduling/resources/506.txt',1000,1000,1000000,2.51,1000.0,1000
'/home/lucas/git/tonerscheduling/resources/966.txt',50,50,2500,0.018,41.0,41
'/home/lucas/git/tonerscheduling/resources/38.txt',10,20,200,0.003,6.0,6
'/home/lucas/git/tonerscheduling/resources/950.txt',50,50,2500,0.014,48.0,48
'/home/lucas/git/tonerscheduling/resources/341.txt',100,100,10000,0.081,64.0,64
'/home/lucas/git/tonerscheduling/resources/754.txt',30,30,900,0.005,29.0,29
'/home/lucas/git/tonerscheduling/resources/1337.txt',17,10,170,0.003,4.0,4
'/home/lucas/git/tonerscheduling/resources/732.txt',200,200,40000,0.314,128.0,128
'/home/lucas/git/tonerscheduling/resources/260.txt',30,40,1200,0.014,16.0,16
'/home/lucas/git/tonerscheduling/resources/1074.txt',600,600,360000,3.013,426.0,426
'/home/lucas/git/tonerscheduling/resources/158.txt',20,40,800,0.012,12.0,12
'/home/lucas/git/tonerscheduling/resources/921.txt',400,400,160000,0.872,372.0,372
'/home/lucas/git/tonerscheduling/resources/960.txt',50,50,2500,0.033,33.0,33
'/home/lucas/git/tonerscheduling/resources/159.txt',20,40,800,0.019,11.0,11
'/home/lucas/git/tonerscheduling/resources/141.txt',20,19,380,0.007,11.0,11
'/home/lucas/git/tonerscheduling/resources/1094.txt',600,600,360000,0.828,600.0,600
'/home/lucas/git/tonerscheduling/resources/842.txt',400,400,160000,1.485,191.0,191
'/home/lucas/git/tonerscheduling/resources/1065.txt',600,600,360000,0.898,600.0,600
'/home/lucas/git/tonerscheduling/resources/596.txt',125,125,15625,0.109,104.0,104
'/home/lucas/git/tonerscheduling/resources/1027.txt',600,600,360000,1.01,600.0,600
'/home/lucas/git/tonerscheduling/resources/125.txt',15,50,750,0.012,7.0,7
'/home/lucas/git/tonerscheduling/resources/1005.txt',600,600,360000,3.155,299.0,299
'/home/lucas/git/tonerscheduling/resources/547.txt',1000,1000,1000000,2.373,1000.0,1000
'/home/lucas/git/tonerscheduling/resources/873.txt',400,400,160000,0.498,400.0,400
'/home/lucas/git/tonerscheduling/resources/838.txt',400,400,160000,1.524,189.0,189
'/home/lucas/git/tonerscheduling/resources/1138.txt',75,75,5625,0.037,60.0,60
'/home/lucas/git/tonerscheduling/resources/800.txt',40,40,1600,0.011,34.0,34
'/home/lucas/git/tonerscheduling/resources/304.txt',40,30,1200,0.011,22.0,22
'/home/lucas/git/tonerscheduling/resources/1274.txt',800,800,640000,1.504,800.0,800
'/home/lucas/git/tonerscheduling/resources/78.txt',15,10,150,0.001,7.0,7
'/home/lucas/git/tonerscheduling/resources/385.txt',1000,1000,1000000,4.984,977.0,977
'/home/lucas/git/tonerscheduling/resources/195.txt',25,20,500,0.009,12.0,12
'/home/lucas/git/tonerscheduling/resources/1095.txt',600,600,360000,0.902,600.0,600
'/home/lucas/git/tonerscheduling/resources/1230.txt',800,800,640000,1.574,800.0,800
'/home/lucas/git/tonerscheduling/resources/391.txt',1000,1000,1000000,3.817,994.0,994
'/home/lucas/git/tonerscheduling/resources/1106.txt',600,600,360000,2.224,520.0,520
'/home/lucas/git/tonerscheduling/resources/590.txt',125,125,15625,0.139,82.0,82
'/home/lucas/git/tonerscheduling/resources/1293.txt',800,800,640000,1.611,800.0,800
'/home/lucas/git/tonerscheduling/resources/1196.txt',800,800,640000,1.957,800.0,800
'/home/lucas/git/tonerscheduling/resources/1068.txt',600,600,360000,0.887,600.0,600
'/home/lucas/git/tonerscheduling/resources/967.txt',50,50,2500,0.018,44.0,44
'/home/lucas/git/tonerscheduling/resources/112.txt',15,40,600,0.009,9.0,9
'/home/lucas/git/tonerscheduling/resources/685.txt',175,175,30625,0.194,148.0,148
'/home/lucas/git/tonerscheduling/resources/490.txt',1000,1000,1000000,2.502,1000.0,1000
'/home/lucas/git/tonerscheduling/resources/286.txt',40,10,400,0.003,9.0,9
'/home/lucas/git/tonerscheduling/resources/864.txt',400,400,160000,0.502,400.0,400
'/home/lucas/git/tonerscheduling/resources/774.txt',30,30,900,0.007,27.0,27
'/home/lucas/git/tonerscheduling/resources/475.txt',1000,1000,1000000,2.603,1000.0,1000
'/home/lucas/git/tonerscheduling/resources/466.txt',1000,1000,1000000,2.859,1000.0,1000
'/home/lucas/git/tonerscheduling/resources/497.txt',1000,1000,1000000,2.74,1000.0,1000
'/home/lucas/git/tonerscheduling/resources/931.txt',100,50,5000,0.039,39.0,39
'/home/lucas/git/tonerscheduling/resources/439.txt',1000,1000,1000000,2.972,1000.0,1000
'/home/lucas/git/tonerscheduling/resources/1104.txt',600,600,360000,2.204,524.0,524
'/home/lucas/git/tonerscheduling/resources/613.txt',150,150,22500,0.219,62.0,62
'/home/lucas/git/tonerscheduling/resources/556.txt',1000,1000,1000000,7.238,874.0,874
'/home/lucas/git/tonerscheduling/resources/630.txt',150,150,22500,0.194,96.0,96
'/home/lucas/git/tonerscheduling/resources/249.txt',30,28,840,0.008,15.0,15
'/home/lucas/git/tonerscheduling/resources/457.txt',1000,1000,1000000,2.87,1000.0,1000
'/home/lucas/git/tonerscheduling/resources/708.txt',200,200,40000,0.194,189.0,189
'/home/lucas/git/tonerscheduling/resources/33.txt',10,9,90,0.001,6.0,6
'/home/lucas/git/tonerscheduling/resources/1105.txt',600,600,360000,2.163,511.0,511
'/home/lucas/git/tonerscheduling/resources/786.txt',40,40,1600,0.017,16.0,16
'/home/lucas/git/tonerscheduling/resources/313.txt',40,39,1560,0.016,19.0,19
'/home/lucas/git/tonerscheduling/resources/277.txt',30,50,1500,0.018,18.0,18
'/home/lucas/git/tonerscheduling/resources/982.txt',600,600,360000,1.851,583.0,583
'/home/lucas/git/tonerscheduling/resources/876.txt',400,400,160000,0.423,400.0,400
'/home/lucas/git/tonerscheduling/resources/1037.txt',600,600,360000,0.955,600.0,600
'/home/lucas/git/tonerscheduling/resources/71.txt',10,50,500,0.009,7.0,7
'/home/lucas/git/tonerscheduling/resources/299.txt',40,30,1200,0.011,18.0,18
'/home/lucas/git/tonerscheduling/resources/681.txt',175,175,30625,0.255,121.0,121
'/home/lucas/git/tonerscheduling/resources/929.txt',100,50,5000,0.038,36.0,36
'/home/lucas/git/tonerscheduling/resources/678.txt',175,175,30625,0.27,115.0,115
'/home/lucas/git/tonerscheduling/resources/672.txt',175,175,30625,0.3,77.0,77
'/home/lucas/git/tonerscheduling/resources/55.txt',10,30,300,0.005,7.0,7
'/home/lucas/git/tonerscheduling/resources/1349.txt',20,20,400,0.003,15.0,15
'/home/lucas/git/tonerscheduling/resources/1356.txt',20,20,400,0.004,16.0,16
'/home/lucas/git/tonerscheduling/resources/1044.txt',600,600,360000,0.931,600.0,600
